fecha,cnae_cod,cnae_nombre,afiliados_medios_reg_general,afiliados_medios_autonomos,afiliados_medios_total
2009-04-01,13,Industria textil,44801.25,5357.85,50159.1
2009-04-01,14,Confección de prendas de vestir,55886.8,14045.85,69932.65000000001
2009-04-01,15,Industria del cuero y del calzado,28066.75,5265.8,33332.55
2009-04-01,16,"Industria de la madera y del corcho, excepto muebles",64585.25,21540.75,86126
2009-04-01,17,Industria del papel,44712.4,1725.55,46437.950000000004
2009-04-01,18,Artes gráficas y reproducción de soportes grabados,75344.9,15969.35,91314.25
2009-04-01,19,Coquerías y refino de petróleo,9485.15,46,9531.15
2009-04-01,20,Industria química,86313.45,3468.15,89781.59999999999
2009-04-01,21,Fabricación de productos farmacéuticos,43461.95,102,43563.95
2009-04-01,22,Fabricación de productos de caucho y plásticos,93934.45,5812.5,99746.95
2009-04-01,23,Fabricación de otros productos minerales,140127.8,12933.4,153061.19999999998
2009-04-01,24,"Metalurgia; fabricación de productos de hierro, acero",94818.7,11416.5,106235.2
2009-04-01,25,"Fabricación de productos metálicos, excepto maquina.",250137.15,41959.6,292096.75
2009-04-01,26,"Fabricación de productos informáticos, electró. ópticos",36445.05,2327,38772.05
2009-04-01,27,Fabricación de material y equipo eléctrico,53863.05,5925.85,59788.9
2009-04-01,28,Fabricación de maquinaria y equipo n.c.o.p.,123757.45,17105.05,140862.5
2009-04-01,29,"Fabricación de vehículos de motor, remolques",150766.75,2144.95,152911.7
2009-04-01,30,Fabricación de otro material de transporte,56658.25,2291,58949.25
2009-04-01,31,Fabricación de muebles,73945.3,20734.4,94679.70000000001
2009-04-01,32,Otras industrias manufactureras,25283.65,6184,31467.65
2009-04-01,33,Reparación e instalación de maquinaria y equipo,54607,15813.25,70420.25
2009-04-01,35,"Suministro de energía eléctrica, gas, vapor  y aire c.",39276.3,1120.35,40396.65
2009-04-01,36,"Captación, depuración y distribución de agua",40663.9,510.05,41173.950000000004
2009-04-01,37,Recogida y tratamiento de aguas residuales,4228.2,208.8,4437
2009-04-01,38,"Recogida, tratamiento y eliminación de residuos",87604.55,1640.8,89245.35
2009-04-01,39,Actividades de descontaminación y otros,1009.6,117.05,1126.65
2009-04-01,41,Construcción de edificios,596631.05,149402.25,746033.3
2009-04-01,42,Ingeniería civil,92585.2,32293.85,124879.04999999999
2009-04-01,43,Actividades de construcción especializada,640743.45,319325.15,960068.6
2009-04-01,45,Venta y reparación de vehículos de motor,251600.8,83514.5,335115.3
2009-04-01,46,"Comercio al por mayor e intermediarios, excepto v. motor",767152.15,172842.3,939994.45
2009-04-01,47,"Comercio al por menor, excepto de vehículos motor",1283830.7,537129.45,1820960.15
2009-04-01,49,Transporte terrestre y por tubería,392775.65,205609.35,598385
2009-04-01,50,Transporte marítimo y por vías navegable,722.8,174.9,897.6999999999999
2009-04-01,51,Transporte aéreo,39612.9,143.3,39756.200000000004
2009-04-01,52,Almacenamiento y actividades anexas al transporte,151755.2,5740.5,157495.7
2009-04-01,53,Actividades postales y de correos,61913.35,3802.7,65716.05
2009-04-01,55,Servicios de alojamiento,238111.6,17094.55,255206.15
2009-04-01,56,Servicios de comidas y bebidas,700527.45,304245.15,1004772.6
2009-04-01,58,Edición,75436.4,10429.3,85865.7
2009-04-01,59,"Actividades cinematográficas, de vídeo y prog. telev.",35625.65,6893.8,42519.450000000004
2009-04-01,60,Actividades de programación y emisión de radio y telev.,26582.3,809.8,27392.1
2009-04-01,61,Telecomunicaciones,84847.3,4479,89326.3
2009-04-01,62,"Programación, consultoría y otras activ. ,  Informáticas",140193.85,17176.35,157370.2
2009-04-01,63,Servicios de información,14756.8,5370.9,20127.699999999997
2009-04-01,64,"Servicios financieros, excepto seguros y fondos pens.",288258.75,3061.45,291320.2
2009-04-01,65,"Seguros, reaseguros y fondos de pensiones",59906.55,4097.8,64004.350000000006
2009-04-01,66,Actividades auxiliares a los servicios financieros y segur.,45458.1,43340.95,88799.04999999999
2009-04-01,68,Actividades inmobiliarias,64838.1,30414.2,95252.3
2009-04-01,69,Actividades jurídicas y de contabilidad,218299.4,67060.85,285360.25
2009-04-01,70,Actividades de las sedes centrales; activ. Consul. Gest. Empr.,51998.55,15120,67118.55
2009-04-01,71,Servicios técnicos de arquitectura e ingeniería,189331.4,49580.15,238911.55
2009-04-01,72,Investigación y desarrollo,54056,8979.6,63035.6
2009-04-01,73,Publicidad y estudios de mercado,87751.1,23002.9,110754
2009-04-01,74,"Otras actividades profesionales, científicas y técnicas",37722.5,30159.8,67882.3
2009-04-01,75,Actividades veterinarias,9357.7,8199.6,17557.300000000003
2009-04-01,77,Actividades de alquiler,172093.8,52558.3,224652.09999999998
2009-04-01,78,Actividades relacionadas con el empleo,103949.75,1813,105762.75
2009-04-01,79,"Actividades de agencias de viajes, operadores turis.",48374.5,10396.8,58771.3
